strategy,root_seed,checkpoint_epoch,selection_split,selection_score,trajectory_count,eligible_within_agent,selected_within_agent,selected_across_agents,test_or_formal_used,checkpoint_tensor_sha256,training_lineage_sha256,status
mf,910033,840,validation_only,0.3954301070630253,64,True,False,False,False,e7d5ce2e40ac7a5b4f8209de902125c5184ac88f174453750a6aa9c00778859d,64c6a84b4ce1f7506ce61e030ce0738782426f190b39127c28765f24a3cd0aff,COMPLETE
mf,910033,880,validation_only,0.40000586748417544,64,True,False,False,False,f48793b8ed3dd6ada642d88d419db5f4b7b34cc2251e8e9cd94ed329d59bf45c,a0f6583876c9b8635a0b10753372d421c307ad66fbf72c2520b4df83ad5b74d7,COMPLETE
mf,910033,920,validation_only,0.39777262510741185,64,True,False,False,False,eaa1921215bbf7543d4ebdeb7b1e270f75e031ab73237e1640b381290a9b131a,504464654c2f9286d08dc7a2859f633f35a776965d0921a4e1cc85123f87770f,COMPLETE
mf,910033,960,validation_only,0.3901028899770437,64,True,False,False,False,b397dbe972c02d9c753e1d022822734de7bd1b2a1d757b50ddcf6e72d2667303,0d6e86318de0d870a371f85b4dfe2830fb148bed5008ac0c84e55f6c6975f791,COMPLETE
mf,910033,1000,validation_only,0.39276378259416733,64,True,False,False,False,2fa19b75264f9368d0e742e6aeeda62debeac2415120026798d5b09fc25214f5,041d3ea8035e4a9a567b5874642c3eb5b966fb4c31885145e1982a5fd0976463,COMPLETE
mf,910051,0,validation_only,0.2103535004865604,64,True,False,False,False,ffb9c0f7df9c88ef248d58ed2c8af442cc763b055ead701d53291dbe708b13c1,9efae33794278ca6aca49ff12169d47a2ff885823141bda3eb7c9aba7906a4e5,COMPLETE
mf,910051,40,validation_only,0.26474801557551,64,True,False,False,False,8e3003679f53ac525ec320f60ce2f95910de9eb2158000bb83da6d4a520b4949,8817264f0a91a5b8449d0a39d7fedf9eb9d820941526414f20c435250424b43a,COMPLETE
mf,910051,80,validation_only,0.3516787336856827,64,True,False,False,False,f061fa5a3254e6969ea41a7734c570fce8120c94cc35d67aa2d8c0ad33dfb14a,49625a277766e5a2c06edd4bad3ea3f78a8c41488d388ff2793aa0439358a954,COMPLETE
mf,910051,120,validation_only,0.3744669504661045,64,True,False,False,False,831622d7f43cfab6290d52c7b1032ced4cdb50b16f70b6968b73c1d1773c8bb0,65cea021634bdca76037130b8fb1c0eb5aac7111456f9d3046ce098176ef17e4,COMPLETE
mf,910051,160,validation_only,0.3852404378952433,64,True,False,False,False,683894fe4a049eeba434fb066e8805af4b59d64bb1482e61f8e13f375f486a67,1425ed7f2ae94a9899e070baf022b35fb15d807729455ac77faec5f36fe7e0a6,COMPLETE
mf,910051,200,validation_only,0.3785365804829919,64,True,False,False,False,e5f8fd1c58a81e5fa93845b991c7009e9fe6596f857c4ca483f414d3b9ebde23,c1d0dea94846ba4f4b17e8e4b83922e0c148daf16021bc0c055a1a73b1fa33aa,COMPLETE
mf,910051,240,validation_only,0.37934137127015977,64,True,False,False,False,0519b00378d096b355ce32f2c8c96131cc294ca33a403baf83d0319058001a3f,4b3c66d16c5a94e62c8a34b1f4763148e826246ae4d038cfb2b3199a1e2c2693,COMPLETE
mf,910051,280,validation_only,0.39510166804180447,64,True,False,False,False,ef13689a23f8d588bb68ba730708c18731db199353a6437d94cdca9f05d55dcb,542320d9021c13ea6bd932623741e2c85e34d9b30b80555438031124ea30b14c,COMPLETE
mf,910051,320,validation_only,0.396970308353068,64,True,False,False,False,97863e8b050c84f1dee2c7cafe0b57a2ed061b07dfedfa7b9b077f3bd7cd05a9,9b13248fba24e7c1d71c13588ef337764a5847a9a3c925669a0cba40c616b1e2,COMPLETE
mf,910051,360,validation_only,0.40233717583943907,64,True,False,False,False,7fbe4951c3fb2a56dcdc6e951b0d08d99e7612c23b47ad2034ea390484111e56,1b54e856d92987b3139c34b495e390633a5a9ee2514ae43d7157090524fe2741,COMPLETE
mf,910051,400,validation_only,0.3953265548496611,64,True,False,False,False,8826b4712b297a541b043ce3cd5d3d4073fee5eca6e1fa02aa073f2da7b3a602,f1c57f5e3479c7494a15bc9144a59b094e0e0ca077e0b41cd2328eb106eaec46,COMPLETE
mf,910051,440,validation_only,0.40616186690337763,64,True,False,False,False,42ba2a72d57f421b1c1bd0bc43b379bf0973e538ceb78e816fcebc95bc20c0d5,58cf3cd8576b01b42440260260d7691a986316a02b00068f2604f8f0e71c98b9,COMPLETE
